State,City,lat,lon,r_2003,r_2004,r_2005,r_2006,r_2007,r_2008,r_2009,r_2010,r_2011,r_2012,r_2013,r_2014,r_2015,r_2016,r_2017
Alabama,Montgomery,32.377716,-86.300568,4,7,4,5,9,9,12,7,9,10,11,13,10,9,11
Alaska,Juneau,58.301598,-134.420212,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Arizona,Phoenix,33.448143,-112.096962,2,3,1,6,14,18,13,4,5,4,7,10,10,11,11
Arkansas,Little Rock,34.746613,-92.288986,0,1,2,3,5,6,5,1,2,2,2,5,4,4,5
California,Sacramento,38.576668,-121.493629,15,27,31,37,75,92,89,52,64,64,63,87,80,67,70
Colorado,Denver,39.739227,-104.984856,1,2,3,3,7,12,11,16,20,19,19,22,21,20,22
Connecticut,Hartford,41.764046,-72.682198,0,1,2,3,10,11,14,11,8,9,12,15,16,16,15
Delaware,Dover,39.157307,-75.519722,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4
District of Columbia,DC,38.9072,-77.0369,1,3,2,2,3,2,1,1,3,2,2,1,0,0,0
Florida,Tallahassee,30.438118,-84.281296,12,21,13,18,32,57,43,25,40,42,44,94,93,89,85
Georgia,Atlanta<br>,33.749027,-84.388229,2,3,5,7,12,21,17,8,15,16,18,17,14,11,16
Hawaii,Honolulu,21.307442,-157.857376,0,1,1,1,6,6,7,13,13,13,10,9,9,1,3
Idaho,Boise,43.617775,-116.199722,0,0,0,0,1,5,1,1,1,1,1,2,2,1,1
Illinois,Springfield,39.798363,-89.654961,6,11,8,7,9,16,17,10,18,23,19,20,17,16,18
Indiana,Indianapolis,39.768623,-86.162643,2,7,6,11,17,12,12,5,2,5,6,19,15,13,15
Iowa,Des Moines,41.591087,-93.603729,0,1,1,0,0,0,1,1,1,2,2,2,2,2,2
Kansas,Topeka,39.048191,-95.677956,2,2,2,5,7,11,8,4,8,6,6,8,7,5,3
Kentucky,Frankfort,38.186722,-84.875374,0,3,5,3,9,11,8,4,5,6,6,8,7,5,7
Louisiana,Baton Rouge,30.457069,-91.187393,4,10,12,11,14,15,15,10,7,7,10,11,10,15,18
Maine,Augusta,44.307167,-69.781693,0,0,0,0,1,4,2,0,0,0,0,5,5,5,5
Maryland,Annapolis,38.978764,-76.490936,4,6,7,12,17,21,20,24,30,26,28,30,26,23,26
Massachusetts,Boston,42.358162,-71.063698,4,9,15,19,27,31,33,23,36,34,29,35,36,23,18
Michigan,Lansing,42.733635,-84.555328,1,2,3,5,8,9,12,11,12,10,9,24,22,20,19
Minnesota,St. Paul,44.955097,-93.102211,1,4,8,12,15,16,15,13,18,20,17,22,18,18,16
Mississippi,Jackson,32.303848,-90.182106,0,0,0,1,1,2,0,0,0,0,1,3,3,3,2
Missouri,Jefferson City,38.579201,-92.172935,3,6,5,6,14,20,19,13,17,15,22,15,12,8,9
Montana,Helena,46.585709,-112.018417,1,2,1,1,1,5,5,2,1,1,2,5,4,4,6
Nebraska,Lincoln,40.808075,-96.699654,0,1,1,1,0,1,0,1,2,2,1,2,1,2,4
Nevada,Carson City,39.163914,-119.766121,1,1,1,2,10,10,7,2,1,1,0,4,5,5,4
New Hampshire,Concord,43.206898,-71.537994,1,2,2,2,4,4,2,0,0,0,0,0,2,3,3
New Jersey,Trenton,40.220596,-74.769913,0,4,4,4,3,4,1,3,5,5,5,12,12,11,12
New Mexico,Santa Fe,35.68224,-105.939728,0,0,0,1,4,5,4,2,0,0,1,2,2,2,2
New York,Albany,42.652843,-73.757874,4,13,19,24,37,47,50,40,41,41,46,50,38,34,36
North Carolina,Raleigh,35.78043,-78.639099,3,10,15,18,33,38,44,36,40,32,38,48,38,36,35
North Dakota,Bismarck,46.82085,-100.783318,0,0,1,1,2,1,0,1,1,1,2,2,5,4,4
Ohio,Columbus,39.961346,-82.999069,2,4,7,9,23,28,34,14,17,22,22,30,21,20,18
Oklahoma,Oklahoma City,35.492207,-97.503342,1,1,0,1,1,1,1,1,3,3,3,5,5,5,5
Oregon,Salem,44.938461,-123.030403,1,2,4,6,10,15,14,5,6,13,11,9,7,4,0
Pennsylvania,Harrisburg,40.264378,-76.883598,2,12,16,24,31,32,36,39,38,32,36,57,57,51,46
Rhode Island,Providence,41.830914,-71.414963,0,3,7,8,8,5,8,6,11,12,10,9,11,9,4
South Carolina,Columbia,34.000343,-81.033211,0,0,1,3,9,20,17,4,6,8,12,13,10,10,13
South Dakota,Pierre,44.367031,-100.346405,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1
Tennessee,Nashville,36.16581,-86.784241,3,5,5,6,15,26,21,21,25,21,23,30,28,23,20
Texas,Austin,30.27467,-97.740349,8,16,11,12,36,57,48,27,40,48,44,62,59,51,54
Utah,Salt Lake City,40.777477,-111.888237,1,1,0,2,3,5,5,3,7,7,8,6,5,5,7
Vermont,Montpelier,44.262436,-72.580536,0,0,0,1,1,2,2,2,2,2,1,1,0,0,0
Virginia,Richmond,37.538857,-77.43364,2,2,1,1,6,14,12,7,14,13,16,31,29,26,30
Washington,Olympia,47.035805,-122.905014,1,4,6,15,20,26,21,7,11,14,13,15,12,13,11
West Virginia,Charleston,38.336246,-81.612328,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Wisconsin,Madison,43.074684,-89.384445,1,3,2,10,11,10,12,11,6,6,9,17,16,12,10
