date,DayOrder,deaths,cummulate
8/19/1854,1,1,1
8/20/1854,2,1,2
8/21/1854,3,1,3
8/22/1854,4,0,3
8/23/1854,5,1,4
8/24/1854,6,1,5
8/25/1854,7,0,5
8/26/1854,8,1,6
8/27/1854,9,1,7
8/28/1854,10,1,8
8/29/1854,11,1,9
8/30/1854,12,8,17
8/31/1854,13,56,73
9/1/1854,14,143,216
9/2/1854,15,116,332
9/3/1854,16,54,386
9/4/1854,17,46,432
9/5/1854,18,36,468
9/6/1854,19,20,488
9/7/1854,20,28,516
9/8/1854,21,12,528
9/9/1854,22,11,539
9/10/1854,23,5,544
9/11/1854,24,5,549
9/12/1854,25,1,550
9/13/1854,26,3,553
9/14/1854,27,0,553
9/15/1854,28,1,554
9/16/1854,29,4,558
9/17/1854,30,2,560
9/18/1854,31,3,563
9/19/1854,32,0,563
9/20/1854,33,0,563
9/21/1854,34,2,565
9/22/1854,35,1,566
9/23/1854,36,1,567
9/24/1854,37,1,568
9/25/1854,38,1,569
9/26/1854,39,1,570
9/27/1854,40,1,571
9/28/1854,41,0,571
9/29/1854,42,0,571
